"","C10","C9","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"OTU_10102",0,0,"OTU_10102","Low","574531","Eukaryota","Onychophora","Udeonychophora","Euonychophora","Peripatopsidae","Peripatopsis","Peripatopsis balfouri"
"OTU_10104",0,0,"OTU_10104","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10105",0,0,"OTU_10105","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10106",0,0,"OTU_10106","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10108",0,0,"OTU_10108","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10109",0,0,"OTU_10109","Low","1841648","Eukaryota","","Chrysophyceae","Chromulinales","Chromulinaceae","Pedospumella","Pedospumella sinomuralis"
"OTU_1011",815,0,"OTU_1011","High","6661","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","Artemia franciscana"
"OTU_10110",0,0,"OTU_10110","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10111",0,0,"OTU_10111","Low","1631664","Eukaryota","","Oomycetes","","","Haptoglossa","Haptoglossa sp. UK"
"OTU_10112",0,0,"OTU_10112","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10113",0,0,"OTU_10113","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10114",0,0,"OTU_10114","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10115",0,0,"OTU_10115","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10116",0,0,"OTU_10116","Low","37520","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia dichotoma"
"OTU_10117",0,0,"OTU_10117","Low","433382","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Sellaphoraceae","Sellaphora","Sellaphora cf. seminulum"
"OTU_10118",0,0,"OTU_10118","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10119",0,0,"OTU_10119","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1012",0,0,"OTU_1012","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10120",0,0,"OTU_10120","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10121",0,0,"OTU_10121","Low","335992","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter","Candidatus Pelagibacter ubique"
"OTU_10122",0,0,"OTU_10122","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10123",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10124",0,0,"OTU_10124","Low","1190596","Eukaryota","","Oomycetes","Myzocytiopsidales","Myzocytiopsidaceae","Chlamydomyzium","Chlamydomyzium dictyuchoides"
"OTU_10125",0,0,"OTU_10125","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10126",0,0,"OTU_10126","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10127",0,0,"OTU_10127","Low","120396","Eukaryota","","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya papillosa"
"OTU_10128",0,0,"OTU_10128","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10129",0,0,"OTU_10129","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1013",0,7,"OTU_1013","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10130",0,0,"OTU_10130","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10131",0,0,"OTU_10131","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10132",0,0,"OTU_10132","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10135",0,0,"OTU_10135","Low","313997","Eukaryota","","","Himatismenida","Cochliopodiidae","Cochliopodium","Cochliopodium minus"
"OTU_10136",0,0,"OTU_10136","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10137",0,0,"OTU_10137","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10139",0,0,"OTU_10139","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10141",0,0,"OTU_10141","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10144",0,0,"OTU_10144","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10145",0,0,"OTU_10145","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10146",0,0,"OTU_10146","High","33505","Eukaryota","Brachiopoda","","","","Phoronis","Phoronis hippocrepia"
"OTU_10147",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10149",0,0,"OTU_10149","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1015",0,0,"OTU_1015","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10151",0,0,"OTU_10151","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10152",0,0,"OTU_10152","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10153",0,0,"OTU_10153","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10154",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10155",0,0,"OTU_10155","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10156",0,0,"OTU_10156","Low","1892891","Eukaryota","","","","","","Amoebozoa sp."
"OTU_10157",0,0,"OTU_10157","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10159",0,0,"OTU_10159","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1016",0,38,"OTU_1016","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10162",0,0,"OTU_10162","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10163",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10165",0,0,"OTU_10165","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10167",0,0,"OTU_10167","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10168",0,0,"OTU_10168","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10169",0,0,"OTU_10169","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1017",0,0,"OTU_1017","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10172",0,0,"OTU_10172","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10173",0,0,"OTU_10173","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10176",0,0,"OTU_10176","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10177",0,0,"OTU_10177","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10178",0,0,"OTU_10178","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10179",0,0,"OTU_10179","High","6082","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra viridissima"
"OTU_1018",0,0,"OTU_1018","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10180",0,0,"OTU_10180","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10181",0,0,"OTU_10181","High","335759","Eukaryota","Mollusca","Gastropoda","Trochida","Phasianellidae","Tricolia","Tricolia pullus"
"OTU_10182",0,0,"OTU_10182","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10184",0,0,"OTU_10184","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10185",0,0,"OTU_10185","Low","525906","Eukaryota","Rotifera","Monogononta","Ploima","Synchaetidae","Synchaeta","Synchaeta pectinata"
"OTU_10186",0,0,"OTU_10186","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10188",0,0,"OTU_10188","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1019",0,159,"OTU_1019","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10190",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10191",0,0,"OTU_10191","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10194",0,0,"OTU_10194","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10197",0,0,"OTU_10197","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10198",0,0,"OTU_10198","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10199",0,0,"OTU_10199","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_102",0,0,"OTU_102","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"OTU_1020",0,0,"OTU_1020","Low","2204297",NA,NA,NA,NA,NA,NA,NA
"OTU_10200",0,0,"OTU_10200","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10201",0,0,"OTU_10201","High-MH","None","Eukaryota","Mucoromycota","Mucoromycetes","Mucorales",NA,NA,NA
"OTU_10202",0,0,"OTU_10202","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10203",0,0,"OTU_10203","Low","1577725","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Conticribra","Conticribra weissflogii"
"OTU_10205",0,0,"OTU_10205","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10206",0,0,"OTU_10206","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10207",0,0,"OTU_10207","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10208",0,0,"OTU_10208","Low","75757","Eukaryota","","","Physariida","Didymiaceae","Didymium","Didymium nigripes"
"OTU_10209",0,0,"OTU_10209","Low","2003115","Eukaryota","","Chrysophyceae","Chromulinales","Chromulinaceae","Pedospumella","Pedospumella sp. JBM19"
"OTU_1021",0,69,"OTU_1021","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10210",0,0,"OTU_10210","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10212",0,0,"OTU_10212","Low","1926936","Eukaryota","","Oomycetes","Anisolpidiales","Anisolpidiaceae","Anisolpidium","Anisolpidium rosenvingei"
"OTU_10213",0,0,"OTU_10213","Low","3120","Eukaryota","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva pertusa"
"OTU_10214",0,0,"OTU_10214","Low","1663094","Eukaryota","Arthropoda","Insecta","Diptera","Anthomyiidae","Botanophila","Botanophila striolata"
"OTU_10216",0,0,"OTU_10216","Low","303400","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia palea"
"OTU_10217",0,0,"OTU_10217","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10218",0,0,"OTU_10218","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10219",0,0,"OTU_10219","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1022",0,0,"OTU_1022","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10221",0,0,"OTU_10221","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10222",20,0,"OTU_10222","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10223",20,0,"OTU_10223","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10224",20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10226",20,0,"OTU_10226","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10227",28,0,"OTU_10227","Low","82952","Eukaryota","","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium violae"
"OTU_10228",20,0,"OTU_10228","High-MH","None","Eukaryota","Chordata","Actinopteri","","Pomacentridae","Amphiprion",NA
"OTU_10229",20,0,"OTU_10229","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1023",0,0,"OTU_1023","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10230",20,0,"OTU_10230","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10231",20,0,"OTU_10231","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10232",20,0,"OTU_10232","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10233",20,0,"OTU_10233","Low","1892891","Eukaryota","","","","","","Amoebozoa sp."
"OTU_10234",20,0,"OTU_10234","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10235",20,0,"OTU_10235","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10236",20,0,"OTU_10236","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10237",20,0,"OTU_10237","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10239",25,0,"OTU_10239","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10240",0,0,"OTU_10240","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10241",0,0,"OTU_10241","Low","65658","Eukaryota","","","Longamoebia","Acanthamoebidae","Acanthamoeba","Acanthamoeba astronyxis"
"OTU_10242",0,0,"OTU_10242","Low","1959789","Eukaryota","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Aphelenchoides","Aphelenchoides sp. Ap191"
"OTU_10243",0,0,"OTU_10243","Low","994183","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","","Orthocladiinae sp. BOLD:AAB2640"
"OTU_10244",0,0,"OTU_10244","Low","180228","Eukaryota","","","","Paramoebidae","Paramoeba","Paramoeba pemaquidensis"
"OTU_10245",0,0,"OTU_10245","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10247",0,0,"OTU_10247","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10248",0,0,"OTU_10248","High","179961","Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Hydrobiidae","Peringia","Peringia ulvae"
"OTU_10249",0,0,"OTU_10249","Low","1017091","Eukaryota","","","Himatismenida","Cochliopodiidae","Cochliopodium","Cochliopodium larifeili"
"OTU_1025",0,0,"OTU_1025","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10250",0,0,"OTU_10250","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10252",0,24,"OTU_10252","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10254",0,20,"OTU_10254","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10255",0,20,"OTU_10255","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10256",0,20,"OTU_10256","High","2498842","Eukaryota","","","","","Chrysoparadoxa","Chrysoparadoxa australica"
"OTU_10258",0,20,"OTU_10258","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10259",0,20,"OTU_10259","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1026",0,0,"OTU_1026","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10260",0,20,"OTU_10260","Low","129355","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lateralis"
"OTU_10262",0,20,"OTU_10262","Low","1892891","Eukaryota","","","","","","Amoebozoa sp."
"OTU_10263",0,20,"OTU_10263","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10265",0,20,"OTU_10265","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10267",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10268",0,20,"OTU_10268","Low","1892891","Eukaryota","","","","","","Amoebozoa sp."
"OTU_1027",0,0,"OTU_1027","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10270",0,25,"OTU_10270","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10271",0,20,"OTU_10271","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10272",0,20,"OTU_10272","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10273",0,20,"OTU_10273","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10274",0,20,"OTU_10274","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10275",0,20,"OTU_10275","Low","645324","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Apolemiidae","Apolemia","Apolemia sp. BO-2009"
"OTU_10276",0,0,"OTU_10276","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10279",0,0,"OTU_10279","Low","1892891","Eukaryota","","","","","","Amoebozoa sp."
"OTU_1028",0,0,"OTU_1028","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10280",0,0,"OTU_10280","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10281",0,0,"OTU_10281","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10282",0,0,"OTU_10282","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10283",0,0,"OTU_10283","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10284",0,0,"OTU_10284","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10285",0,0,"OTU_10285","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10286",0,0,"OTU_10286","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10287",0,0,"OTU_10287","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10289",0,0,"OTU_10289","Low","1654810","Eukaryota","","","","Paramoebidae","Cunea","Cunea thuwala"
"OTU_1029",0,0,"OTU_1029","High","1414854","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Caedimonadaceae","Candidatus Nucleicultrix","Candidatus Nucleicultrix amoebiphila"
"OTU_10290",0,0,"OTU_10290","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10291",0,0,"OTU_10291","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10293",0,0,"OTU_10293","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10294",0,0,"OTU_10294","Low","1076758","Eukaryota","","","Himatismenida","","Parvamoeba","Parvamoeba rugata"
"OTU_10295",0,0,"OTU_10295","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10296",0,0,"OTU_10296","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10297",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10298",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10299",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_103",0,0,"OTU_103","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1030",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
